Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
43555,49829-1,Fulton,Oswego,NY,13069,Non-Residential,43.324957,-76.390481
43555,71331,Pulaski,Oswego,NY,13142,Non-Residential,43.555712,-76.134908
43555,77085,Parish,Oswego,NY,13131,Non-Residential,43.416461,-76.098964
43555,82624,Mexico,Oswego,NY,13314,Non-Residential,42.81458,-75.346279
43555,81953,Sandy Creek,Oswego,NY,13145,Non-Residential,43.655206,-76.129967
43555,92745,Pulaski,Oswego,NY,13142,Non-Residential,43.555712,-76.134908
43555,92849,Phoenix,Oswego,NY,13135,Non-Residential,43.250396,-76.316143
43555,117089,Central Square,Oswego,NY,13036,Non-Residential,43.309824,-76.166889
43555,117694,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,115456,Central Square,Oswego,NY,13036,Non-Residential,43.309824,-76.166889
43555,130546,Mexico,Oswego,NY,13114,Non-Residential,43.466852,-76.240968
43555,171466,Central Square,Oswego,NY,13036,Non-Residential,43.309824,-76.166889
43555,4116-29360,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4116-29419,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4116-29436,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4116-29478,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4116-20045,Parish,Oswego,NY,13131,Non-Residential,43.416461,-76.098964
43555,4116-33058,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4116-29359,Fulton,Oswego,NY,13069,Non-Residential,43.324957,-76.390481
43555,4116-32299,Cleveland,Oswego,NY,13042,Non-Residential,43.248755,-75.848762
43555,4116-20042,Parish,Oswego,NY,13131,Non-Residential,43.416461,-76.098964
43555,4116-31410,Pulaski,Oswego,NY,13142,Non-Residential,43.555712,-76.134908
43555,4116-197,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4116-29357,Mexico,Oswego,NY,13114,Non-Residential,43.466852,-76.240968
43555,4180-19915,Pulaski,Oswego,NY,13142,Non-Residential,43.555712,-76.134908
43555,4247-102838,Minetto,Oswego,NY,13115,Non-Residential,43.398398,-76.47845
43555,4205-22483,Phoenix,Oswego,NY,13135,Non-Residential,43.250396,-76.316143
43555,4521-102791,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
43555,4550-32813,Hastings,Oswego,NY,13076,Non-Residential,43.352818,-76.144592
43555,4611-39361,Oswego,Oswego,NY,13126,Non-Residential,43.440456,-76.474421
